Model,Score
AMD Ryzen 5 5600G,19902
AMD Ryzen 7 4700GE,19831
Intel Xeon Gold 6226 @ 2.70GHz,19810
Intel Core i7-11700 @ 2.50GHz,19804
Intel Xeon W-1350P @ 4.00GHz,19797
Intel Xeon E5-2695 v4 @ 2.10GHz,19791
AMD Ryzen 7 PRO 4700G,19786
Intel Core i5-11600KF @ 3.90GHz,19679
AMD Ryzen 7 PRO 7730U,19666
Intel Core i5-11600K @ 3.90GHz,19654
Intel Xeon E5-2690 v4 @ 2.60GHz,19621
Intel Xeon E-2386G @ 3.50GHz,19613
Intel Core i9-10900E @ 2.80GHz,19595
Intel Core i5-12400F,19549
AMD EPYC 3451,19532
Intel Core i9-9900KS @ 4.00GHz,19516
Intel Xeon W-2245 @ 3.90GHz,19489
AMD Ryzen 5 5500,19475
Intel Core i5-12400,19438
AMD EPYC 7252,19411
Intel Xeon Gold 6137 @ 3.90GHz,19365
Intel Core i5-1340P,19292
AMD Ryzen 5 7540U,19220
Intel Core i7-1360P,19186
AMD Ryzen 9 4900H,19165
Intel Xeon D-2752TER @ 1.80GHz,19102
Intel Xeon Silver 4309Y @ 2.80GHz,19100
AMD Ryzen 5 PRO 6650H,19094
Intel Core i5-12450HX,19074
AMD Ryzen 9 4900HS,19065
Intel Xeon E5-2682 v4 @ 2.50GHz,19058
Intel Xeon W-1350 @ 3.30GHz,19015
AMD Ryzen 5 Pro 7535U,19012
Intel Xeon Gold 6244 @ 3.60GHz,18980
Intel Xeon E5-2676 v4 @ 2.40GHz,18978
Intel Core i9-11900T @ 1.50GHz,18968
Intel Core i5-13420H,18952
Intel Xeon E-2356G @ 3.20GHz,18952
AMD Ryzen 5 6600H,18952
Intel Xeon E5-2698 v3 @ 2.30GHz,18946
Apple M3 8 Core,18941
Intel Core i7-11850HE @ 2.60GHz,18899
Intel Core i7-10700K @ 3.80GHz,18865
AMD Ryzen 7 7730U,18861
Hygon C86 7255 16-core,18831
ARM Neoverse-N1 80 Core 2600 MHz,18823
ARM Neoverse-N1 64 Core 2200 MHz,18803
Intel Xeon W-1290E @ 3.50GHz,18786
Intel Xeon E5-2697 v3 @ 2.60GHz,18767
Intel Core Ultra 5 125U,18752
AMD Ryzen Z1,18722
AMD Ryzen 5 5600GE,18721
Intel Xeon Gold 6126 @ 2.60GHz,18701
AMD Ryzen 5 3600XT,18673
Intel Core i7-10700KF @ 3.80GHz,18662
Intel Xeon W-1270E @ 3.40GHz,18635
AMD Ryzen 7 4800H,18602
AMD Ryzen 7 5800U,18581
Intel Xeon W-1270P @ 3.80GHz,18553
AMD Ryzen 7 4800HS,18514
AMD Ryzen 7 PRO 4750GE,18450
Intel Xeon W-1290T @ 1.90GHz,18409
AMD Ryzen 5 PRO 5650GE,18408
AMD Ryzen 7 5825U,18403
AMD Ryzen 5 7535HS,18389
Intel Xeon D-2183IT @ 2.20GHz,18385
AMD Ryzen Embedded V3C48,18361
Intel Core i9-9900K @ 3.60GHz,18342
Intel Xeon Silver 4214R @ 2.40GHz,18342
Intel Core i9-9900KF @ 3.60GHz,18325
Intel Xeon w3-2425,18284
Intel Xeon W-11855M @ 3.20GHz,18268
AMD Ryzen 5 6600HS Creator Edition,18245
Intel Xeon E7-8880 v3 @ 2.30GHz,18244
